Id_variante,Id_ubicacion_genomica,Frec_alelica,Significancia_clinica
8017,109,0.19,Significado Incierto
825,130,0.29,Probablemente Patogénica
6528,220,0.41,Benigna
7417,258,0.08,Significado Incierto
2843,67,0.48,Benigna
8659,278,0.18,Patogénica
3530,131,0.03,Probablemente Patogénica
9347,293,0.08,Significado Incierto
6001,149,0.2,Benigna
9692,115,0.22,Probablemente Patogénica
1697,252,0.37,Patogénica
2990,125,0.15,Benigna
1479,73,0.11,Significado Incierto
7912,294,0.43,Benigna
4132,161,0.06,Probablemente Patogénica
3769,47,0.33,Significado Incierto
6740,121,0.34,Significado Incierto
1239,56,0.26,Benigna
7955,41,0.45,Significado Incierto
4783,209,0.11,Probablemente Patogénica
8441,163,0.02,Probablemente Patogénica
6082,24,0.35,Benigna
7270,15,0.49,Benigna
7102,244,0.33,Benigna
6759,253,0.19,Benigna
8586,12,0.14,Patogénica
8557,38,0.26,Benigna
7594,18,0.46,Significado Incierto
4508,30,0.02,Significado Incierto
9304,167,0.36,Significado Incierto
9273,209,0.05,Significado Incierto
1458,62,0.42,Significado Incierto
3690,256,0.08,Significado Incierto
7575,25,0.15,Patogénica
9408,129,0.02,Benigna
8333,41,0.41,Probablemente Patogénica
360,231,0.27,Probablemente Patogénica
6772,190,0.24,Benigna
3749,113,0.29,Probablemente Patogénica
1361,161,0.21,Significado Incierto
5769,50,0.42,Benigna
424,75,0.1,Probablemente Patogénica
5523,241,0.49,Probablemente Patogénica
5261,274,0.02,Probablemente Patogénica
353,15,0.27,Significado Incierto
1420,290,0.1,Benigna
1133,37,0.12,Benigna
7955,168,0.21,Benigna
4133,155,0.48,Significado Incierto
2455,170,0.43,Benigna
795,244,0.45,Significado Incierto
5023,89,0.32,Significado Incierto
3086,130,0.37,Probablemente Patogénica
9270,260,0.28,Significado Incierto
7468,134,0.04,Patogénica
4616,92,0.28,Probablemente Patogénica
9451,279,0.03,Significado Incierto
3534,123,0.31,Patogénica
1678,241,0.44,Benigna
7646,214,0.28,Significado Incierto
4546,110,0.03,Benigna
2229,283,0.1,Patogénica
746,196,0.3,Significado Incierto
7491,244,0.45,Probablemente Patogénica
312,59,0.33,Benigna
7580,292,0.19,Patogénica
6620,80,0.49,Probablemente Patogénica
4288,266,0.47,Patogénica
94,173,0.4,Benigna
5322,5,0.06,Significado Incierto
2998,123,0.32,Benigna
3026,120,0.15,Benigna
1417,271,0.46,Patogénica
4221,87,0.07,Benigna
5448,252,0.5,Probablemente Patogénica
9257,226,0.25,Significado Incierto
3848,196,0.35,Significado Incierto
8395,282,0.24,Benigna
1200,210,0.17,Probablemente Patogénica
1986,148,0.36,Significado Incierto
5721,163,0.26,Patogénica
4462,58,0.36,Probablemente Patogénica
8224,221,0.39,Benigna
8804,72,0.27,Benigna
4656,253,0.19,Significado Incierto
8919,287,0.47,Benigna
9561,168,0.06,Probablemente Patogénica
3818,185,0.38,Patogénica
19,243,0.04,Significado Incierto
7127,176,0.08,Benigna
7542,133,0.16,Significado Incierto
1844,287,0.29,Patogénica
1851,1,0.4,Significado Incierto
298,129,0.41,Significado Incierto
7872,88,0.36,Significado Incierto
2949,224,0.18,Probablemente Patogénica
8149,151,0.43,Significado Incierto
9642,32,0.07,Significado Incierto
4538,48,0.14,Significado Incierto
6711,279,0.46,Probablemente Patogénica
4206,115,0.02,Patogénica
9674,113,0.19,Significado Incierto
4856,203,0.46,Benigna
5212,148,0.15,Benigna
1274,90,0.34,Significado Incierto
9285,184,0.23,Benigna
216,202,0.07,Benigna
716,205,0.2,Patogénica
7450,133,0.4,Significado Incierto
2406,64,0.39,Benigna
2977,219,0.21,Benigna
1372,223,0.34,Patogénica
3693,98,0.09,Significado Incierto
297,252,0.45,Probablemente Patogénica
1036,171,0.11,Patogénica
9362,195,0.23,Significado Incierto
5639,52,0.2,Benigna
5638,47,0.28,Significado Incierto
3219,69,0.43,Patogénica
8434,267,0.15,Significado Incierto
9026,68,0.5,Probablemente Patogénica
4936,214,0.37,Significado Incierto
1953,242,0.19,Patogénica
8494,138,0.07,Benigna
5758,2,0.18,Significado Incierto
6150,81,0.25,Benigna
467,288,0.31,Benigna
5796,136,0.33,Significado Incierto
3605,49,0.43,Benigna
897,54,0.38,Significado Incierto
4797,230,0.22,Probablemente Patogénica
527,205,0.14,Benigna
1754,213,0.44,Benigna
2715,234,0.19,Benigna
7801,9,0.01,Significado Incierto
350,171,0.16,Significado Incierto
1502,39,0.49,Benigna
9674,189,0.38,Significado Incierto
233,286,0.03,Significado Incierto
8184,245,0.39,Benigna
3262,222,0.31,Benigna
1382,193,0.19,Probablemente Patogénica
939,33,0.09,Benigna
1222,39,0.14,Significado Incierto
2448,203,0.24,Significado Incierto
9272,148,0.2,Benigna
3573,198,0.36,Benigna
2041,233,0.04,Significado Incierto
6311,71,0.02,Patogénica
1454,127,0.04,Probablemente Patogénica
8047,143,0.31,Patogénica
8495,295,0.06,Significado Incierto
8938,33,0.46,Significado Incierto
7346,293,0.43,Significado Incierto
5087,98,0.02,Significado Incierto
239,38,0.39,Significado Incierto
1012,79,0.32,Benigna
4695,71,0.1,Significado Incierto
119,39,0.35,Benigna
7705,204,0.37,Significado Incierto
8707,149,0.02,Benigna
7594,283,0.2,Significado Incierto
9488,296,0.12,Benigna
1301,169,0.33,Probablemente Patogénica
7195,124,0.41,Significado Incierto
7839,288,0.44,Benigna
9633,177,0.2,Benigna
6970,138,0.3,Patogénica
5833,136,0.5,Patogénica
6251,78,0.4,Benigna
1765,164,0.44,Benigna
1006,78,0.39,Significado Incierto
1627,113,0.28,Significado Incierto
6469,117,0.45,Probablemente Patogénica
9774,121,0.07,Significado Incierto
7600,265,0.42,Significado Incierto
8702,204,0.48,Significado Incierto
5285,14,0.43,Patogénica
2854,93,0.16,Significado Incierto
8085,300,0.16,Benigna
3204,275,0.18,Probablemente Patogénica
3973,251,0.21,Patogénica
7512,299,0.27,Probablemente Patogénica
6284,274,0.38,Significado Incierto
8690,79,0.07,Significado Incierto
2535,238,0.22,Significado Incierto
3612,122,0.34,Benigna
4333,237,0.4,Probablemente Patogénica
5695,264,0.08,Patogénica
9465,34,0.21,Probablemente Patogénica
7204,109,0.34,Significado Incierto
5245,55,0.38,Benigna
4108,127,0.4,Benigna
5377,165,0.03,Significado Incierto
6447,44,0.24,Significado Incierto
3148,176,0.18,Significado Incierto
4463,35,0.04,Significado Incierto
5744,45,0.3,Probablemente Patogénica
1375,282,0.15,Benigna
6385,136,0.49,Probablemente Patogénica
5377,141,0.07,Benigna
3773,44,0.15,Significado Incierto
2801,196,0.1,Significado Incierto
714,42,0.36,Significado Incierto
4419,91,0.04,Benigna
4305,84,0.45,Significado Incierto
3481,250,0.15,Benigna
2635,147,0.12,Benigna
295,64,0.49,Probablemente Patogénica
5667,274,0.04,Benigna
5362,150,0.28,Patogénica
3861,170,0.17,Probablemente Patogénica
1242,199,0.12,Significado Incierto
7160,31,0.36,Patogénica
6319,171,0.24,Benigna
7688,106,0.1,Patogénica
4727,271,0.04,Probablemente Patogénica
5952,29,0.13,Probablemente Patogénica
4855,125,0.13,Probablemente Patogénica
1989,146,0.38,Significado Incierto
5050,181,0.02,Benigna
4135,221,0.25,Benigna
9489,245,0.11,Probablemente Patogénica
6042,60,0.45,Probablemente Patogénica
6058,36,0.38,Benigna
4436,202,0.03,Significado Incierto
652,203,0.26,Significado Incierto
8852,181,0.27,Significado Incierto
1342,116,0.1,Significado Incierto
8195,237,0.26,Significado Incierto
4236,155,0.36,Probablemente Patogénica
5039,145,0.39,Benigna
6947,288,0.04,Benigna
2519,4,0.45,Significado Incierto
8550,204,0.38,Significado Incierto
5386,8,0.4,Significado Incierto
6746,199,0.09,Benigna
102,143,0.15,Significado Incierto
7595,201,0.31,Benigna
2113,92,0.33,Benigna
3626,201,0.02,Significado Incierto
2874,148,0.49,Benigna
3262,248,0.18,Significado Incierto
5539,88,0.17,Significado Incierto
4109,5,0.21,Benigna
3909,225,0.14,Benigna
9657,158,0.34,Significado Incierto
5610,262,0.35,Probablemente Patogénica
4912,248,0.44,Significado Incierto
4878,89,0.5,Probablemente Patogénica
5595,225,0.03,Benigna
9563,276,0.02,Patogénica
4513,41,0.28,Significado Incierto
3585,222,0.07,Significado Incierto
7712,88,0.34,Benigna
4779,178,0.18,Benigna
4321,250,0.02,Significado Incierto
131,128,0.11,Benigna
4983,34,0.2,Benigna
7031,239,0.44,Patogénica
1334,295,0.28,Probablemente Patogénica
3489,121,0.18,Significado Incierto
6470,189,0.49,Patogénica
1486,211,0.48,Significado Incierto
6004,265,0.12,Significado Incierto
5076,4,0.06,Probablemente Patogénica
1060,111,0.45,Benigna
6031,107,0.24,Probablemente Patogénica
9530,203,0.25,Significado Incierto
3335,240,0.23,Probablemente Patogénica
8477,249,0.22,Patogénica
8911,11,0.45,Significado Incierto
4560,283,0.42,Significado Incierto
2029,172,0.1,Significado Incierto
1425,243,0.08,Benigna
4673,153,0.19,Patogénica
9274,115,0.05,Benigna
1847,221,0.35,Significado Incierto
4656,97,0.11,Significado Incierto
5486,264,0.16,Patogénica
2937,126,0.38,Significado Incierto
1071,200,0.42,Probablemente Patogénica
7515,296,0.06,Patogénica
4188,273,0.33,Significado Incierto
3634,283,0.41,Significado Incierto
8706,216,0.35,Significado Incierto
5914,85,0.32,Probablemente Patogénica
9352,37,0.27,Significado Incierto
92,219,0.47,Significado Incierto
1744,261,0.4,Significado Incierto
7072,98,0.21,Significado Incierto
6359,135,0.49,Benigna
3621,64,0.31,Significado Incierto
952,175,0.29,Probablemente Patogénica
238,5,0.32,Significado Incierto
5349,178,0.18,Significado Incierto
7676,88,0.37,Significado Incierto
7622,210,0.26,Significado Incierto
1822,95,0.31,Significado Incierto
5969,111,0.3,Significado Incierto
7600,215,0.19,Probablemente Patogénica
7959,76,0.25,Significado Incierto
8166,170,0.14,Benigna
3676,206,0.49,Probablemente Patogénica
308,230,0.31,Significado Incierto
3157,47,0.29,Probablemente Patogénica
8146,16,0.4,Significado Incierto
8959,159,0.29,Probablemente Patogénica
8949,250,0.11,Patogénica
7142,38,0.49,Significado Incierto
2091,88,0.17,Probablemente Patogénica
5004,131,0.22,Benigna
4253,69,0.25,Significado Incierto
9471,59,0.3,Probablemente Patogénica
8750,259,0.08,Probablemente Patogénica
1773,234,0.42,Benigna
7868,230,0.43,Benigna
5035,82,0.27,Significado Incierto
9414,97,0.06,Benigna
7543,151,0.22,Significado Incierto
3494,245,0.02,Probablemente Patogénica
7574,203,0.17,Significado Incierto
3963,242,0.09,Benigna
927,49,0.12,Benigna
8483,235,0.34,Patogénica
502,280,0.43,Benigna
25,27,0.44,Significado Incierto
5495,229,0.07,Significado Incierto
1743,257,0.2,Significado Incierto
2853,118,0.28,Patogénica
6411,239,0.34,Benigna
9773,42,0.2,Patogénica
6143,231,0.3,Significado Incierto
4527,41,0.05,Probablemente Patogénica
1006,54,0.4,Patogénica
3347,60,0.23,Significado Incierto
5603,285,0.18,Probablemente Patogénica
9404,34,0.42,Probablemente Patogénica
4717,209,0.19,Significado Incierto
122,233,0.33,Significado Incierto
4592,47,0.31,Patogénica
8985,28,0.12,Benigna
6737,233,0.38,Benigna
1804,256,0.37,Significado Incierto
9611,32,0.22,Probablemente Patogénica
1516,74,0.33,Significado Incierto
683,68,0.06,Significado Incierto
6917,252,0.28,Benigna
717,10,0.17,Significado Incierto
6907,96,0.31,Significado Incierto
6837,207,0.47,Significado Incierto
1061,183,0.15,Benigna
1043,181,0.38,Probablemente Patogénica
5626,277,0.13,Significado Incierto
5403,155,0.15,Significado Incierto
9115,40,0.03,Patogénica
5516,10,0.47,Benigna
9628,71,0.11,Benigna
6087,206,0.05,Benigna
7452,97,0.29,Significado Incierto
1645,150,0.25,Benigna
8179,77,0.26,Benigna
4301,224,0.32,Significado Incierto
112,188,0.34,Significado Incierto
3338,237,0.11,Significado Incierto
2473,127,0.05,Benigna
8696,99,0.13,Significado Incierto
1729,99,0.2,Benigna
9068,289,0.29,Significado Incierto
8633,91,0.26,Significado Incierto
3783,251,0.21,Probablemente Patogénica
2825,17,0.12,Significado Incierto
6542,288,0.3,Significado Incierto
5077,152,0.43,Significado Incierto
2220,49,0.23,Significado Incierto
7197,210,0.06,Significado Incierto
3084,111,0.24,Significado Incierto
3990,31,0.36,Significado Incierto
2204,2,0.42,Significado Incierto
6443,152,0.14,Patogénica
7913,98,0.37,Benigna
632,50,0.29,Significado Incierto
474,275,0.42,Significado Incierto
1801,179,0.46,Probablemente Patogénica
4046,158,0.3,Probablemente Patogénica
3254,232,0.3,Probablemente Patogénica
1294,101,0.3,Significado Incierto
9184,267,0.26,Significado Incierto
5104,57,0.34,Significado Incierto
7447,107,0.48,Benigna
2372,9,0.07,Benigna
4685,36,0.19,Significado Incierto
6789,78,0.36,Benigna
5988,276,0.19,Benigna
1812,229,0.4,Patogénica
3181,212,0.22,Significado Incierto
6302,114,0.01,Patogénica
4790,126,0.25,Probablemente Patogénica
6139,250,0.09,Significado Incierto
2153,45,0.37,Benigna
8866,194,0.22,Significado Incierto
6793,145,0.12,Probablemente Patogénica
1983,40,0.5,Significado Incierto
284,265,0.38,Probablemente Patogénica
1868,285,0.45,Probablemente Patogénica
7934,179,0.15,Benigna
6074,93,0.33,Benigna
912,54,0.02,Benigna
5874,218,0.29,Probablemente Patogénica
8141,265,0.26,Probablemente Patogénica
127,125,0.4,Patogénica
3151,102,0.16,Significado Incierto
6148,167,0.04,Probablemente Patogénica
309,184,0.33,Significado Incierto
754,39,0.44,Benigna
9549,116,0.46,Probablemente Patogénica
7807,229,0.02,Benigna
4942,130,0.09,Benigna
2118,28,0.42,Probablemente Patogénica
5047,236,0.03,Probablemente Patogénica
3550,83,0.01,Patogénica
350,275,0.04,Benigna
8334,196,0.49,Benigna
9020,300,0.01,Significado Incierto
1082,29,0.3,Benigna
3493,133,0.02,Benigna
2696,177,0.4,Significado Incierto
9536,42,0.39,Benigna
1650,82,0.45,Significado Incierto
8835,165,0.39,Benigna
9376,57,0.04,Patogénica
6845,275,0.15,Significado Incierto
3468,266,0.11,Significado Incierto
4569,90,0.15,Significado Incierto
4365,99,0.29,Probablemente Patogénica
6661,104,0.19,Probablemente Patogénica
4531,123,0.11,Probablemente Patogénica
9026,6,0.42,Significado Incierto
1377,43,0.08,Benigna
6348,190,0.35,Significado Incierto
5519,96,0.02,Probablemente Patogénica
9037,127,0.32,Significado Incierto
4190,265,0.12,Benigna
1278,213,0.17,Benigna
4003,182,0.18,Significado Incierto
3782,283,0.17,Benigna
6249,25,0.1,Significado Incierto
7999,262,0.05,Significado Incierto
387,251,0.47,Significado Incierto
5409,44,0.01,Significado Incierto
5260,222,0.06,Benigna
9670,115,0.28,Probablemente Patogénica
6150,55,0.38,Significado Incierto
9166,285,0.03,Benigna
1908,37,0.3,Benigna
4973,24,0.13,Patogénica
2291,186,0.2,Patogénica
1847,281,0.24,Significado Incierto
9498,187,0.13,Significado Incierto
6705,232,0.33,Patogénica
9327,291,0.25,Significado Incierto
9534,118,0.32,Significado Incierto
9635,44,0.04,Significado Incierto
8356,226,0.16,Significado Incierto
5441,204,0.39,Significado Incierto
7314,60,0.14,Probablemente Patogénica
509,132,0.42,Significado Incierto
4290,168,0.4,Probablemente Patogénica
3034,97,0.09,Benigna
1271,94,0.4,Benigna
5051,36,0.12,Significado Incierto
6886,122,0.09,Significado Incierto
5570,33,0.29,Benigna
587,229,0.1,Significado Incierto
7878,9,0.47,Significado Incierto
7817,222,0.24,Patogénica
4604,201,0.41,Significado Incierto
4731,166,0.47,Significado Incierto
4852,7,0.18,Significado Incierto
255,174,0.28,Benigna
6743,32,0.29,Significado Incierto
7418,113,0.13,Benigna
6688,130,0.48,Significado Incierto
9762,59,0.07,Benigna
3898,172,0.03,Probablemente Patogénica
8318,285,0.29,Benigna
5804,183,0.43,Significado Incierto
2548,286,0.3,Benigna
5572,21,0.21,Significado Incierto
5111,51,0.02,Benigna
4428,147,0.29,Significado Incierto
3180,138,0.38,Benigna
2525,261,0.12,Probablemente Patogénica
7394,170,0.31,Patogénica
1510,49,0.05,Probablemente Patogénica
2243,230,0.41,Significado Incierto
4122,177,0.12,Significado Incierto
1939,298,0.23,Benigna
4042,177,0.22,Patogénica
8454,1,0.15,Significado Incierto
4719,3,0.37,Probablemente Patogénica
2215,41,0.28,Benigna
4973,165,0.07,Significado Incierto
3583,19,0.09,Benigna
9477,223,0.29,Probablemente Patogénica
2353,265,0.44,Significado Incierto
1437,248,0.29,Probablemente Patogénica
9713,256,0.06,Significado Incierto
4915,42,0.37,Benigna
6109,5,0.3,Benigna
6086,197,0.16,Significado Incierto
147,72,0.33,Benigna
5177,118,0.03,Significado Incierto
6959,150,0.19,Probablemente Patogénica
5196,100,0.37,Probablemente Patogénica
1622,273,0.31,Probablemente Patogénica
4859,58,0.34,Probablemente Patogénica
2146,114,0.12,Significado Incierto
4194,221,0.36,Benigna
5434,139,0.48,Significado Incierto
5875,152,0.24,Significado Incierto
6291,177,0.45,Significado Incierto
6954,295,0.14,Probablemente Patogénica
4324,206,0.16,Benigna
6564,79,0.47,Probablemente Patogénica
4737,151,0.45,Significado Incierto
850,195,0.31,Probablemente Patogénica
3560,259,0.29,Significado Incierto
4448,10,0.17,Benigna
1098,146,0.01,Significado Incierto
9506,148,0.17,Benigna
1011,13,0.39,Probablemente Patogénica
8899,156,0.05,Probablemente Patogénica
8980,75,0.33,Probablemente Patogénica
1779,15,0.05,Significado Incierto
6642,276,0.07,Probablemente Patogénica
4205,189,0.21,Patogénica
2126,88,0.21,Significado Incierto
2895,129,0.32,Benigna
202,118,0.45,Significado Incierto
366,148,0.36,Probablemente Patogénica
4688,112,0.24,Benigna
8954,58,0.26,Probablemente Patogénica
791,219,0.39,Probablemente Patogénica
2418,239,0.49,Significado Incierto
7017,271,0.38,Benigna
4365,260,0.07,Benigna
8721,69,0.08,Benigna
2532,3,0.1,Significado Incierto
9511,28,0.32,Benigna
4007,4,0.4,Patogénica
2190,176,0.35,Probablemente Patogénica
9233,147,0.21,Significado Incierto
955,181,0.34,Significado Incierto
9585,41,0.07,Significado Incierto
4066,44,0.05,Benigna
3973,247,0.4,Benigna
5352,177,0.19,Significado Incierto
8071,179,0.03,Significado Incierto
1288,106,0.02,Probablemente Patogénica
1935,282,0.46,Benigna
4886,61,0.36,Significado Incierto
1460,61,0.1,Probablemente Patogénica
1099,267,0.33,Benigna
2303,169,0.27,Patogénica
1938,72,0.43,Probablemente Patogénica
5208,293,0.34,Significado Incierto
3127,61,0.26,Benigna
7427,102,0.02,Significado Incierto
1388,46,0.24,Patogénica
7209,135,0.49,Significado Incierto
8295,262,0.21,Significado Incierto
8668,288,0.29,Significado Incierto
7643,138,0.08,Probablemente Patogénica
6338,163,0.25,Benigna
8731,180,0.2,Significado Incierto
957,125,0.25,Significado Incierto
8308,243,0.08,Benigna
9694,101,0.15,Probablemente Patogénica
2796,246,0.5,Significado Incierto
3909,249,0.03,Significado Incierto
1661,177,0.24,Significado Incierto
4895,171,0.25,Significado Incierto
3732,237,0.14,Significado Incierto
497,97,0.27,Significado Incierto
966,284,0.26,Significado Incierto
5658,102,0.36,Significado Incierto
2243,256,0.49,Significado Incierto
3968,166,0.5,Probablemente Patogénica
8684,286,0.4,Significado Incierto
6288,280,0.15,Probablemente Patogénica
4410,293,0.5,Significado Incierto
1533,28,0.03,Patogénica
8427,195,0.07,Probablemente Patogénica
6996,21,0.24,Significado Incierto
7177,79,0.32,Benigna
2266,262,0.34,Significado Incierto
1369,290,0.19,Significado Incierto
2090,249,0.36,Probablemente Patogénica
2781,221,0.3,Significado Incierto
5890,5,0.13,Benigna
9249,93,0.35,Probablemente Patogénica
3342,13,0.11,Benigna
8406,74,0.38,Significado Incierto
463,288,0.39,Probablemente Patogénica
5347,245,0.15,Benigna
4249,213,0.09,Significado Incierto
3046,202,0.14,Significado Incierto
3581,164,0.29,Benigna
4307,291,0.19,Benigna
4748,262,0.39,Significado Incierto
201,109,0.29,Significado Incierto
2690,19,0.41,Patogénica
1815,171,0.21,Benigna
9120,151,0.47,Probablemente Patogénica
6953,260,0.5,Significado Incierto
9613,189,0.35,Significado Incierto
4171,125,0.41,Benigna
3782,179,0.2,Significado Incierto
2625,76,0.08,Probablemente Patogénica
851,166,0.08,Patogénica
5950,192,0.02,Significado Incierto
5845,53,0.29,Benigna
4744,2,0.48,Significado Incierto
2911,11,0.26,Significado Incierto
8007,293,0.16,Significado Incierto
2764,174,0.28,Significado Incierto
7145,227,0.47,Benigna
8207,245,0.49,Benigna
6793,269,0.16,Probablemente Patogénica
1311,157,0.09,Probablemente Patogénica
9567,88,0.15,Benigna
953,198,0.1,Benigna
847,268,0.27,Patogénica
747,21,0.14,Patogénica
3958,235,0.26,Benigna
6485,239,0.09,Significado Incierto
2037,164,0.04,Benigna
5801,4,0.44,Patogénica
8570,5,0.29,Benigna
7979,278,0.03,Patogénica
9665,165,0.34,Probablemente Patogénica
1096,210,0.27,Benigna
3898,91,0.35,Benigna
9419,127,0.37,Probablemente Patogénica
8492,217,0.28,Benigna
3755,90,0.21,Significado Incierto
6274,239,0.08,Significado Incierto
6979,213,0.25,Significado Incierto
1807,240,0.42,Significado Incierto
1251,295,0.11,Significado Incierto
3433,27,0.16,Patogénica
6964,119,0.28,Patogénica
5410,227,0.06,Probablemente Patogénica
3910,231,0.19,Significado Incierto
8411,280,0.11,Patogénica
4037,257,0.44,Significado Incierto
3057,112,0.11,Significado Incierto
6879,38,0.08,Significado Incierto
8087,85,0.39,Benigna
6793,109,0.29,Probablemente Patogénica
523,33,0.49,Benigna
4927,245,0.18,Patogénica
8515,47,0.35,Significado Incierto
1534,23,0.2,Probablemente Patogénica
6944,299,0.25,Probablemente Patogénica
6389,234,0.16,Significado Incierto
1641,86,0.34,Benigna
9611,107,0.08,Probablemente Patogénica
5538,61,0.11,Benigna
663,49,0.33,Significado Incierto
4739,98,0.16,Probablemente Patogénica
7505,72,0.38,Significado Incierto
2299,91,0.32,Benigna
2447,49,0.26,Significado Incierto
959,31,0.14,Significado Incierto
1072,149,0.04,Benigna
3521,129,0.16,Probablemente Patogénica
7469,196,0.28,Benigna
8716,25,0.08,Probablemente Patogénica
8998,1,0.31,Significado Incierto
3931,185,0.39,Benigna
4739,137,0.35,Probablemente Patogénica
8480,197,0.41,Probablemente Patogénica
9535,45,0.07,Patogénica
5383,60,0.43,Benigna
4479,207,0.04,Probablemente Patogénica
8301,111,0.38,Significado Incierto
8763,181,0.28,Probablemente Patogénica
8008,2,0.44,Probablemente Patogénica
9106,215,0.1,Probablemente Patogénica
532,121,0.49,Benigna
2296,290,0.1,Significado Incierto
8956,267,0.23,Probablemente Patogénica
5882,147,0.09,Probablemente Patogénica
4435,79,0.2,Significado Incierto
2464,4,0.03,Probablemente Patogénica
372,68,0.14,Significado Incierto
8141,4,0.17,Significado Incierto
7727,185,0.49,Significado Incierto
338,267,0.15,Significado Incierto
540,116,0.32,Significado Incierto
7343,115,0.12,Patogénica
4527,95,0.06,Probablemente Patogénica
3773,196,0.21,Benigna
5844,248,0.3,Probablemente Patogénica
1629,160,0.29,Significado Incierto
1958,185,0.19,Significado Incierto
8425,189,0.35,Benigna
3270,194,0.29,Significado Incierto
2439,227,0.45,Benigna
6362,276,0.14,Significado Incierto
1845,115,0.37,Significado Incierto
3105,143,0.23,Patogénica
6682,62,0.25,Benigna
1859,218,0.42,Probablemente Patogénica
9450,69,0.35,Significado Incierto
1053,76,0.05,Significado Incierto
5984,128,0.11,Significado Incierto
4514,187,0.05,Benigna
5529,3,0.14,Benigna
1083,237,0.22,Benigna
9269,159,0.39,Significado Incierto
2626,112,0.07,Benigna
2092,55,0.04,Significado Incierto
8310,64,0.25,Benigna
368,118,0.28,Significado Incierto
3244,174,0.49,Patogénica
8687,62,0.37,Benigna
1418,106,0.18,Probablemente Patogénica
4508,186,0.15,Benigna
8307,221,0.16,Benigna
2840,86,0.4,Significado Incierto
6283,213,0.01,Significado Incierto
1351,8,0.39,Probablemente Patogénica
7446,224,0.33,Patogénica
8509,226,0.2,Significado Incierto
2969,78,0.04,Probablemente Patogénica
5383,281,0.48,Significado Incierto
3299,158,0.24,Benigna
5399,179,0.3,Benigna
8513,5,0.31,Significado Incierto
8756,253,0.47,Probablemente Patogénica
3811,20,0.02,Significado Incierto
8656,43,0.25,Benigna
5114,292,0.48,Probablemente Patogénica
8391,298,0.27,Probablemente Patogénica
7553,102,0.08,Benigna
6307,273,0.44,Benigna
603,178,0.41,Probablemente Patogénica
2564,131,0.33,Significado Incierto
1524,274,0.12,Probablemente Patogénica
2333,181,0.39,Benigna
7909,108,0.05,Benigna
1284,260,0.27,Probablemente Patogénica
4046,226,0.1,Significado Incierto
974,209,0.36,Significado Incierto
7714,236,0.25,Patogénica
3608,32,0.35,Benigna
6768,297,0.21,Probablemente Patogénica
5668,300,0.13,Probablemente Patogénica
369,17,0.29,Benigna
3803,72,0.49,Benigna
2803,62,0.41,Patogénica
4095,222,0.44,Significado Incierto
5561,280,0.07,Patogénica
6087,64,0.04,Benigna
7465,84,0.04,Significado Incierto
923,280,0.48,Benigna
1685,86,0.16,Benigna
4043,4,0.29,Benigna
684,258,0.04,Probablemente Patogénica
7060,98,0.3,Significado Incierto
2962,196,0.2,Significado Incierto
4309,153,0.28,Probablemente Patogénica
6811,212,0.32,Significado Incierto
9474,136,0.2,Benigna
97,290,0.12,Significado Incierto
5655,79,0.36,Significado Incierto
7388,215,0.12,Benigna
3813,12,0.06,Probablemente Patogénica
8604,167,0.02,Significado Incierto
2939,274,0.21,Significado Incierto
8993,264,0.25,Significado Incierto
1992,113,0.47,Benigna
4128,271,0.16,Patogénica
9182,226,0.24,Patogénica
407,27,0.37,Significado Incierto
4267,289,0.44,Benigna
3587,72,0.29,Benigna
7125,264,0.39,Benigna
1437,64,0.47,Benigna
2839,212,0.02,Benigna
4317,271,0.02,Probablemente Patogénica
9761,146,0.39,Benigna
151,181,0.4,Significado Incierto
8887,264,0.42,Significado Incierto
7395,271,0.17,Benigna
5441,269,0.27,Significado Incierto
2702,113,0.07,Patogénica
8190,22,0.14,Patogénica
1217,232,0.15,Patogénica
8588,122,0.14,Significado Incierto
5084,3,0.22,Significado Incierto
3429,187,0.08,Significado Incierto
5860,253,0.12,Significado Incierto
3351,159,0.48,Benigna
2814,122,0.33,Benigna
6603,98,0.25,Patogénica
7854,140,0.03,Probablemente Patogénica
7712,201,0.31,Benigna
2454,126,0.26,Benigna
8242,78,0.07,Benigna
7993,78,0.31,Benigna
8266,228,0.11,Significado Incierto
1736,197,0.49,Probablemente Patogénica
7793,241,0.46,Benigna
3928,218,0.41,Significado Incierto
7918,19,0.05,Significado Incierto
2082,247,0.04,Benigna
5686,210,0.04,Benigna
1751,74,0.06,Benigna
7843,231,0.35,Probablemente Patogénica
2719,170,0.21,Benigna
4451,160,0.46,Patogénica
3922,200,0.33,Probablemente Patogénica
4933,196,0.1,Patogénica
2496,292,0.4,Significado Incierto
4543,191,0.37,Benigna
6323,259,0.4,Significado Incierto
9362,250,0.23,Probablemente Patogénica
5354,32,0.21,Benigna
7440,115,0.09,Patogénica
2673,172,0.48,Significado Incierto
6862,293,0.25,Significado Incierto
8757,125,0.1,Probablemente Patogénica
9524,164,0.08,Significado Incierto
8162,16,0.26,Significado Incierto
4566,64,0.17,Probablemente Patogénica
8154,228,0.23,Significado Incierto
1014,149,0.4,Significado Incierto
8153,5,0.09,Significado Incierto
1550,135,0.19,Significado Incierto
5194,225,0.2,Patogénica
7258,2,0.1,Significado Incierto
3075,80,0.43,Benigna
2643,171,0.36,Significado Incierto
9510,180,0.41,Benigna
3816,152,0.42,Significado Incierto
7265,84,0.06,Significado Incierto
